complex,d,K,N,ks,empirical_mean,expected_mean
False,3,1,60000,0.004857056250410663,0.33151798544079525,0.3333333333333333
False,8,2,60000,0.004748553576449044,0.24970244919165455,0.25
False,8,4,60000,0.0036234252846185644,0.4990491031755167,0.5
False,16,3,60000,0.003303438183677787,0.18741100643998929,0.1875
True,3,1,60000,0.0035970099520317156,0.3337935069861872,0.3333333333333333
True,8,2,60000,0.0038221387368815307,0.2505686539898151,0.25
True,8,4,60000,0.005322302031658954,0.5009941727397802,0.5
True,16,3,60000,0.0022309621035253024,0.1874608051742682,0.1875
