snr_db,information,se,haar,empirical_converse,selected_candidate
-30,0.0003000639980761721,6.482282565335555e-07,0.00012497500832978263,0.00030009836860167474,0
-20,0.002991070229095157,6.451709119831519e-06,0.001247508297796822,0.0029929090524907238,0
-10,0.02899936092877499,6.163765151562905e-05,0.012257993111529551,0.029152231637727618,0
0,0.22789865176072693,0.00043514250614807827,0.10592205557313064,0.23511957928634303,0
10,0.9224073381275076,0.0012667938534371087,0.5491326373807325,0.9732242101562836,0
20,1.972637273330479,0.0017728155143180782,1.4482649751445869,2.0557457639897536,0
