snr_db,bpsk,gaussian,ratio,quadrature_difference
-30,0.00012497500832738795,0.00012497500832978263,0.9999999999808388,1.0842021724855044e-18
-20,0.0012475082745688824,0.001247508297796822,0.999999981380533,4.553649124439119e-18
-10,0.012257803441497385,0.012257993111529551,0.9999845268282955,3.642919299551295e-17
0,0.10538592125562907,0.10592205557313064,0.9949384071655273,3.0531133177191805e-16
10,0.4548608777236377,0.5491326373807325,0.828326066892045,3.3306690738754696e-16
20,0.6611249530579231,1.4482649751445869,0.4564944705591047,0.0
