order,nodes,gamma,candidates,candidate_information_error,candidate_transfer_regret,best_original_information,transferred_information,exact_moment_reference_bound,moment_residual
1,36,1.0,525,0.003596076887520866,0.00015406813937138275,0.2030535028239893,0.2028994346846179,0.08333333333333331,1.6653345369377348e-16
2,330,1.0,525,8.015688327886461e-05,1.318832664937153e-06,0.2030535028239893,0.20305218399132435,0.018518518518518514,8.881784197001252e-16
3,600,1.0,525,1.942890293094024e-16,1.1102230246251565e-16,0.2030535028239893,0.20305350282398918,0.0046296296296296285,0.0
1,36,10.0,525,0.045027748706405024,0.003959141690969448,0.8562085039835272,0.8522493622925578,2.083333333333334,1.6653345369377348e-16
2,330,10.0,525,0.005125528586532757,0.00020243555058407914,0.8562085039835272,0.8560060684329431,1.1574074074074079,8.881784197001252e-16
3,600,10.0,525,7.771561172376096e-16,0.0,0.8562085039835272,0.8562085039835272,0.7233796296296299,0.0
