gamma,theta,information,distance,distance_over_gamma,distance_bound,regret,regret_over_gamma_cubed,regret_bound
0.0001,0.30932871564841274,3.538552454880634e-05,1.0479901149305524e-05,0.10479901149305523,0.0003403458139320114,1.140708607786184e-15,0.0011407086077861838,3.007959616285625e-13
0.00015848931924611142,0.3093330494764383,5.608088643890776e-05,1.6608859519759255e-05,0.10479481897431872,0.0005393802187561548,4.540715839288052e-15,0.001140576250604828,1.1973502374877978e-12
0.00025118864315095795,0.30933991742070627,8.88787226081573e-05,2.632159944799736e-05,0.10478817480684725,0.0008547808118077977,1.8073521469427304e-14,0.001140362111175562,4.7658536683279386e-12
0.00039810717055349735,0.3093508005949943,0.00014085451082727646,4.1712732123293e-05,0.10477764584169347,0.0013545373330259354,7.193049386983472e-14,0.0011400215006466682,1.8967632788754945e-11
0.000630957344480193,0.30936804478417906,0.00022321732713608054,6.609969832247647e-05,0.10476096189502629,0.002146297431198228,2.862248405005964e-13,0.0011394816139381862,7.547636674467748e-11
0.001,0.309395363734285,0.00035372030990698654,0.00010473452800041398,0.10473452800041398,0.0034003980870469996,1.1386264994152358e-12,0.0011386264994152357,3.002553129476396e-10
0.001584893192461114,0.30943863311647024,0.0005604700526405732,0.00016592667483733816,0.10469265413379535,0.005386120621691309,4.527564916953127e-12,0.0011372728882673346,1.193942261041156e-09
0.002511886431509582,0.30950713961077964,0.0008879366908400348,0.00026280948706834423,0.10462634129139436,0.008528532525270164,1.799062623057969e-11,0.0011351317751982243,4.744383585122423e-09
0.003981071705534973,0.30961553738697456,0.0014064107325594327,0.00041610708780304194,0.10452137479074264,0.013497033183594081,7.140852917926657e-11,0.001131748917798803,1.8832492614289103e-08
0.00630957344480193,0.30978689102969764,0.002226820189734661,0.0006584377155196957,0.10435534529868133,0.021341858509544273,2.829423803970617e-10,0.0011264139048954565,7.462694223021784e-08
0.01,0.3100573542084012,0.003523789383976781,0.001040930340762588,0.1040930340762588,0.033700975100337094,1.1180243849140107e-09,0.0011180243849140104,2.9492806962929883e-07
0.01584893192461114,0.3104832284177214,0.0055711357932585965,0.0016432071476990438,0.1036793618343061,0.05310491430431266,4.398651414164055e-09,0.0011048912804179102,1.1606481920005496e-06
0.025118864315095822,0.3111512758478562,0.008795564308004438,0.002587967809015322,0.10302885419306225,0.08340452534851645,1.7187828923739106e-08,0.0010844786895102257,4.537434875836352e-06
0.039810717055349734,0.3121929479331529,0.013855594891185489,0.004061110462466385,0.10201048267530907,0.13031954391549747,6.644638407184452e-08,0.0010531042177912284,1.755699871227522e-05
0.06309573444801936,0.3138019237050899,0.021752164248790107,0.006336530200200568,0.10042723578122131,0.2020186502244774,2.5262336976038263e-07,0.001005711749509957,6.686734884568981e-05
0.1,0.3162504309981541,0.03397120400619991,0.009799185208840286,0.09799185208840284,0.30943622592127695,9.360126396684587e-07,0.0009360126396684585,0.0002486414246519403
0.15848931924611143,0.3198902371919525,0.05264017538779888,0.014946448644854527,0.0943057154636699,0.4656630801835086,3.3344787900893547e-06,0.0008375832028981919,0.0008924312872251192
0.25118864315095824,0.3251050123264464,0.08064250575654573,0.02232060582863164,0.08885993231476433,0.6833466142139137,1.120070636352052e-05,0.000706716794342929,0.0030458833607886647
0.3981071705534973,0.33215292665358037,0.12157940982062995,0.032285983462478136,0.08109872378734151,0.9692222546248249,3.4530657045083336e-05,0.0005472740328196194,0.009711312502855948
0.6309573444801936,0.34082896037018473,0.17943663360081807,0.044551181117948,0.07060886366993785,1.316804305516872,9.429556562669608e-05,0.0003753974082738553,0.028410158081195458
1.0,0.349974098540253,0.25788815283478184,0.05747589732854328,0.05747589732854328,1.701899242567023,0.00021833313149443407,0.00021833313149443407,0.07521403095721194
