sample_size,trial,grid_information_error
100,0,0.02764613592822232
100,1,0.004536579044870176
100,2,0.014639533817821349
100,3,0.008288265526537983
100,4,0.0443306214401602
100,5,0.02079724305248032
100,6,0.008962190634829864
100,7,0.02851443097479943
100,8,0.015202171227176375
100,9,0.009804080753097827
100,10,0.00732814435242074
100,11,0.011967871034882366
100,12,0.0039014708188212788
100,13,0.018040430742521305
100,14,0.01342273464589179
100,15,0.013692606598412135
100,16,0.021480320571516276
100,17,0.003929352596883512
100,18,0.004615552041300486
100,19,0.02167773346570448
100,20,0.018135777189150076
100,21,0.02901538612911761
100,22,0.012675503844119529
100,23,0.004820467360665687
100,24,0.006323840477099357
100,25,0.0029068280069832753
100,26,0.00604852776791262
100,27,0.024204002726893686
100,28,0.02094317380695207
100,29,0.014745922678317841
100,30,0.00491063485989407
100,31,0.019729588889301652
100,32,0.01241746842596475
100,33,0.015444515483838822
100,34,0.0031216318761805584
100,35,0.028266714370481977
100,36,0.021353695078938056
100,37,0.016952543962883593
100,38,0.001978885821175641
100,39,0.017549200911395973
100,40,0.013282654806930166
100,41,0.0027700311157472235
100,42,0.012557103372931477
100,43,0.019487185998705636
100,44,0.02392519866787063
100,45,0.0107630041420885
100,46,0.011836079982431302
100,47,0.016715973410746487
100,48,0.0216151353388927
100,49,0.021132416531101678
100,50,0.03726310004328118
100,51,0.01878897974117269
100,52,0.013047901391616656
100,53,0.016380678774212176
100,54,0.0212727903087864
100,55,0.013697675747413915
100,56,0.009266746745296817
100,57,0.0134248526702678
100,58,0.02199602284891264
100,59,0.008898404257572823
100,60,0.012984413472287154
100,61,0.023352134692025073
100,62,0.027328779461178065
100,63,0.019381210372609564
100,64,0.04662576298660301
100,65,0.012777790602638103
100,66,0.007933230733155716
100,67,0.012258259626583418
100,68,0.020454707601755995
100,69,0.0046323255787382445
100,70,0.03441020378847379
100,71,0.02197368258999871
100,72,0.02649839811366514
100,73,0.010737668874081258
100,74,0.01803371372266392
100,75,0.028251491363766257
100,76,0.013710259015110082
100,77,0.0036953680662141636
100,78,0.0055038092288406115
100,79,0.011431885066084224
100,80,0.0137823080035748
100,81,0.0064427642971820465
100,82,0.018846465078712293
100,83,0.011364684270789432
100,84,0.019743636610823262
100,85,0.021059074357112295
100,86,0.010160015560904706
100,87,0.015337531603762944
100,88,0.014360772227990037
100,89,0.016022492517282244
100,90,0.01237932579962317
100,91,0.014996546323782833
100,92,0.0059730535033509224
100,93,0.016458627418021704
100,94,0.014419015662115564
100,95,0.02129841257114859
100,96,0.014165577267737817
100,97,0.019978330668038863
100,98,0.006540137253432471
100,99,0.012038257629366389
100,100,0.018332281351429544
100,101,0.013993630832576626
100,102,0.02072567838194972
100,103,0.019032457157748595
100,104,0.011507802281341906
100,105,0.006605522813154158
100,106,0.015008822378766162
100,107,0.03760554965008428
100,108,0.014823123550693956
100,109,0.008940746021172535
100,110,0.03196722128563606
100,111,0.007141001826254489
100,112,0.019442166064810557
100,113,0.012313461353513633
100,114,0.02496144093055233
100,115,0.015210950158312253
100,116,0.013228545942399333
100,117,0.004754065055296658
100,118,0.014253484508873773
100,119,0.028647796996683572
100,120,0.019402003575601123
100,121,0.015240853028029147
100,122,0.02810757203440284
100,123,0.014536869161501625
100,124,0.01206061360971944
100,125,0.00646792504714272
100,126,0.013257348087180543
100,127,0.010609453349215509
100,128,0.006302706984444378
100,129,0.011099842339199334
100,130,0.018721155442991216
100,131,0.0070103825084872895
100,132,0.021504700742103214
100,133,0.025502678956085434
100,134,0.00673197625818607
100,135,0.013574051249020641
100,136,0.02522887275950192
100,137,0.014832437407840987
100,138,0.03009856969504851
100,139,0.009878143567864373
100,140,0.011227849980417537
100,141,0.013256309490634083
100,142,0.011342477829611702
100,143,0.015418488985178003
100,144,0.00779135919697968
100,145,0.008157222327750069
100,146,0.0214873876592917
100,147,0.022481847781834624
100,148,0.008831495184624977
100,149,0.010332011851744344
100,150,0.02391072282579501
100,151,0.007780184113979738
100,152,0.00468654095745738
100,153,0.0047068674714653425
100,154,0.015516537684148762
100,155,0.028344884436397128
100,156,0.010897811334754592
100,157,0.010603082316092277
100,158,0.013121559290145163
100,159,0.014355542425124226
100,160,0.019030980883493698
100,161,0.0036588434147746818
100,162,0.011539599226911834
100,163,0.02982638733082013
100,164,0.02617564361582944
100,165,0.021502167231624403
100,166,0.008679925422297535
100,167,0.0181869229406508
100,168,0.007550125149731315
100,169,0.00663427540921227
100,170,0.008407640413626682
100,171,0.02468431533663143
100,172,0.01565765723772755
100,173,0.019785533944884623
100,174,0.021478104164479428
100,175,0.003118631293379831
100,176,0.0029075031028958642
100,177,0.006131412766773092
100,178,0.01166319160333748
100,179,0.0063749884558798875
100,180,0.024571435688248128
100,181,0.01097374422643399
100,182,0.012342625145711716
100,183,0.0233207355687782
100,184,0.012150689888884875
100,185,0.019509994881240528
100,186,0.011151269114238416
100,187,0.01187432138624181
100,188,0.009991462801810541
100,189,0.011217356286564284
100,190,0.003790645675579185
100,191,0.015517153945667744
100,192,0.014349995753598577
100,193,0.03907529490320116
100,194,0.018822949423272367
100,195,0.00442523860766092
100,196,0.021948747177510303
100,197,0.020192448199306268
100,198,0.03403919377320394
100,199,0.017382387135119387
400,0,0.005689606681726106
400,1,0.003682768415445653
400,2,0.0026808946949177515
400,3,0.007848977090966602
400,4,0.0022029718030097956
400,5,0.01086370015203486
400,6,0.004332352651286314
400,7,0.010452760402520606
400,8,0.008050494471776859
400,9,0.0037648850648916155
400,10,0.0073560309829275305
400,11,0.0036357009912622584
400,12,0.012872297691971332
400,13,0.003683659216575541
400,14,0.006911917210576296
400,15,0.015905415826401537
400,16,0.00898857469895134
400,17,0.008802272591891647
400,18,0.005750279579974926
400,19,0.0035820436624311447
400,20,0.005897170922894934
400,21,0.00386524268029681
400,22,0.00624799758550057
400,23,0.00538451600108289
400,24,0.009664698648820719
400,25,0.005747012979792493
400,26,0.0021002314670043043
400,27,0.007751032796987217
400,28,0.009776210239933802
400,29,0.006126666317727708
400,30,0.002953437338545667
400,31,0.0054056575822456765
400,32,0.005252213508089104
400,33,0.013532032562113466
400,34,0.005343515162553186
400,35,0.007307480213793294
400,36,0.0024937230420294942
400,37,0.007183754602379133
400,38,0.009844709181146188
400,39,0.017837262546660126
400,40,0.00912026448851809
400,41,0.00270397013017884
400,42,0.012857872854676655
400,43,0.007644679671252652
400,44,0.002703695538041978
400,45,0.008653710320472768
400,46,0.006244012782701536
400,47,0.010452427352297955
400,48,0.013658740205743425
400,49,0.00835722189770588
400,50,0.009497350838458082
400,51,0.015562009031128088
400,52,0.003991651107231015
400,53,0.011740409119733647
400,54,0.012535142761413709
400,55,0.0066483262613742655
400,56,0.006866380268119671
400,57,0.0009345312575367581
400,58,0.003355679007210649
400,59,0.008311814233090742
400,60,0.012958726474104357
400,61,0.010875155419244664
400,62,0.006552835686218533
400,63,0.011240871201565916
400,64,0.005266917612316402
400,65,0.005791736448564816
400,66,0.008679422815752624
400,67,0.007128449567857215
400,68,0.008401616316949828
400,69,0.009754240453495017
400,70,0.01153960716012839
400,71,0.007164270511115289
400,72,0.005594930823332511
400,73,0.00790662507713516
400,74,0.012059038143683518
400,75,0.004857051503084797
400,76,0.008501675685898186
400,77,0.005530018018412464
400,78,0.009148510152510975
400,79,0.006953996792588957
400,80,0.0022605266832317894
400,81,0.006185246961135371
400,82,0.009542553992549163
400,83,0.00848619575119755
400,84,0.010019930859331838
400,85,0.009397865179790243
400,86,0.003113001002350013
400,87,0.01337485452532855
400,88,0.007728778531324532
400,89,0.005111018972243808
400,90,0.007150553938809562
400,91,0.006583787511369982
400,92,0.010283311764582859
400,93,0.005690226415706268
400,94,0.0032892982807877502
400,95,0.0025440288562854907
400,96,0.003705014327600037
400,97,0.013881277188798113
400,98,0.009501015915021616
400,99,0.009963289655284258
400,100,0.003987434815753449
400,101,0.00934553007076866
400,102,0.005187353735073119
400,103,0.004246228880881969
400,104,0.0044189171588937814
400,105,0.009935019476462192
400,106,0.01318154659782908
400,107,0.015545461532215143
400,108,0.004522925979577541
400,109,0.01731381420523917
400,110,0.0021417959837382594
400,111,0.007170793453857738
400,112,0.008399669971205004
400,113,0.005130099406080391
400,114,0.01006619855989102
400,115,0.002415961616624246
400,116,0.01150215688623804
400,117,0.009534216800232795
400,118,0.003365093328142582
400,119,0.003507308916062546
400,120,0.006266362402833486
400,121,0.008931316483853952
400,122,0.005135573475788441
400,123,0.003920379986803446
400,124,0.00933889257214593
400,125,0.006793451201856926
400,126,0.004200313559276775
400,127,0.005627071915273174
400,128,0.00916707262093061
400,129,0.001239463215039982
400,130,0.008411199343635267
400,131,0.010171256676071577
400,132,0.013928488814365453
400,133,0.007209785282713849
400,134,0.00839112265791045
400,135,0.0054273399979827275
400,136,0.005772949335649563
400,137,0.0036791434751822227
400,138,0.002868476261596059
400,139,0.006106980187209871
400,140,0.007763560713914236
400,141,0.005457974308817504
400,142,0.007816928557453279
400,143,0.013079202560745684
400,144,0.005416760747811555
400,145,0.012625975162451147
400,146,0.002511511803417188
400,147,0.003174290049272277
400,148,0.011390165875320768
400,149,0.0033296882597732003
400,150,0.006393815795550345
400,151,0.01769910776921972
400,152,0.00490502092604761
400,153,0.009181531780326074
400,154,0.005017162478589382
400,155,0.01581399922944507
400,156,0.004379581858447612
400,157,0.014596346871316168
400,158,0.014065964708375817
400,159,0.012384936465122981
400,160,0.002391683616603052
400,161,0.005830146717369061
400,162,0.0025044576773753657
400,163,0.008032596199475356
400,164,0.015404889839243624
400,165,0.005616839660307321
400,166,0.011928984106467838
400,167,0.013810664196363356
400,168,0.009752291658311318
400,169,0.0055723909507204294
400,170,0.020725688240156942
400,171,0.005194940890275945
400,172,0.010649963394209094
400,173,0.00676063336698024
400,174,0.009575008381575628
400,175,0.0038043936153684677
400,176,0.002251573441836907
400,177,0.008112591440324113
400,178,0.0061412030310744326
400,179,0.0037843985297675298
400,180,0.00623100700712656
400,181,0.01373938552689849
400,182,0.009016847490338348
400,183,0.005764064496528609
400,184,0.011753957413167926
400,185,0.012898055412347287
400,186,0.007614737662541726
400,187,0.0029257037465998392
400,188,0.0036344262640891634
400,189,0.004054340886766483
400,190,0.008464049217787817
400,191,0.006300338424202412
400,192,0.003831928433822601
400,193,0.006926647519602258
400,194,0.0065254020895589016
400,195,0.011141213766320684
400,196,0.003272141078506291
400,197,0.01356760643633842
400,198,0.007163305100777478
400,199,0.007495115440437433
1600,0,0.005148038839080632
1600,1,0.00216174039359196
1600,2,0.0057404850952901265
1600,3,0.004001875665006094
1600,4,0.001357548383990742
1600,5,0.006801841529611746
1600,6,0.0036785292105565026
1600,7,0.0008636739480044342
1600,8,0.003706279536606766
1600,9,0.0029936441855527574
1600,10,0.004129725921064892
1600,11,0.002788571190757233
1600,12,0.0027818680283204222
1600,13,0.004624198242858285
1600,14,0.0008726249618168647
1600,15,0.004632412175318235
1600,16,0.0034898395546615335
