order,nodes,gamma,sampled_information_error,information_bound,transferred_regret,regret_bound,optimal_value_error,moment_residual,residual_aware_taylor_bound
1,3,0.1,0.00024389503849647082,0.0011904761904761904,1.2068441328798732e-05,0.0023809523809523807,7.83649319566343e-05,2.7755575615628914e-16,0.005000000000000015
1,3,1.0,0.01397157818254699,0.08333333333333331,0.0027203378853265145,0.16666666666666663,0.0042806928778164055,2.7755575615628914e-16,0.5000000000000001
1,3,10.0,0.16298647079582573,2.083333333333334,0.03011402713636425,4.166666666666668,0.026001948263840946,2.7755575615628914e-16,50.0
2,5,0.1,8.568075851381196e-07,3.779289493575208e-05,3.303850526208339e-10,7.558578987150416e-05,3.377071850357849e-07,3.7470027081099033e-16,0.0003333333333333531
2,5,1.0,0.0004427133277406514,0.018518518518518514,1.1246457781502256e-06,0.03703703703703703,0.0003229083953922296,3.7470027081099033e-16,0.3333333333333336
2,5,10.0,0.02401249132621308,1.1574074074074079,0.0029877643677742103,2.3148148148148158,0.003596127974462515,3.7470027081099033e-16,333.3333333333333
3,7,0.1,6.3743325513787585e-09,1.3497462477054312e-06,3.195144171526848e-14,2.6994924954108624e-06,2.9864168568649596e-09,4.440892098500626e-16,2.5000000000023393e-05
3,7,1.0,2.047929712961638e-05,0.0046296296296296285,1.1822678667306144e-08,0.009259259259259257,1.5758992917003223e-05,4.440892098500626e-16,0.2500000000000004
3,7,10.0,0.004684519153004274,0.7233796296296299,2.8399012316482733e-07,1.4467592592592597,0.0006038720776763151,4.440892098500626e-16,2500.0
4,9,0.1,2.5744647039194213e-10,5.141890467449261e-08,7.435918587231296e-17,1.0283780934898522e-07,3.988299274171325e-11,2.498001805406602e-16,2.0000000000131594e-06
4,9,1.0,7.428746501919603e-06,0.0012345679012345672,1.6096108936652483e-09,0.0024691358024691345,1.2193673692706408e-06,2.498001805406602e-16,0.20000000000000026
4,9,10.0,0.004593813365017851,0.48225308641975334,0.00014994917739933247,0.9645061728395067,0.0010785739382670467,2.498001805406602e-16,20000.0
6,13,0.1,7.20951076615961e-14,8.328296837462359e-11,0.0,1.6656593674924718e-10,3.625572064791527e-14,1.2212453270876722e-15,1.42857143500498e-08
6,13,1.0,1.0057785451711432e-07,9.79815794630609e-05,1.5043479011472613e-13,0.0001959631589261218,7.790031542054265e-08,1.2212453270876722e-15,0.14285714285714435
6,13,10.0,0.0007890544618215367,0.23921284048598873,9.73834413335501e-06,0.47842568097197746,1.2481237716910343e-05,1.2212453270876722e-15,1428571.4285714286
8,17,0.1,1.0408340855860843e-16,1.4688354210691992e-13,0.0,2.9376708421383983e-13,2.7755575615628914e-17,6.661338147750939e-16,1.1111114620321223e-10
8,17,1.0,3.956741823074594e-09,8.467543904215138e-06,4.776700048190964e-15,1.6935087808430275e-05,1.5395566210774092e-09,6.661338147750939e-16,0.11111111111111201
8,17,10.0,0.00020201035822320357,0.12920446631187668,2.009204598220971e-07,0.25840893262375336,4.8457684491243214e-05,6.661338147750939e-16,111111111.1111111
