phi,theta,m2,information
0.0,0.0,0.5,0.17328679513998632
0.0,0.004363323129985824,0.4999809618945489,0.17328917489184123
0.0,0.008726646259971648,0.499923853377387,0.17329631328662043
0.0,0.013089969389957472,0.49982869184432166,0.17330820774242084
0.0,0.017453292519943295,0.49969550628247805,0.1733248539575824
0.0,0.02181661564992912,0.4995243372614683,0.17334624591295364
0.0,0.026179938779914945,0.4993152369210341,0.173372375875061
0.0,0.030543261909900768,0.4990682689551651,0.17340323440017769
0.0,0.03490658503988659,0.4987835085926964,0.1734388103392886
0.0,0.039269908169872414,0.49846104257439217,0.17347909084394642
0.0,0.04363323129985824,0.4981009691265261,0.1735240613730129
0.0,0.04799655442984406,0.49770339793095797,0.17357370570027844
0.0,0.05235987755982989,0.4972684500917256,0.17362800592295324
0.0,0.05672320068981571,0.4967962580981543,0.17368694247102023
0.0,0.061086523819801536,0.4962869657844995,0.1737504941174424
0.0,0.06544984694978735,0.49574072828613347,0.17381863798921265
0.0,0.06981317007977318,0.49515771199228975,0.17389134957923708
0.0,0.07417649320975901,0.49453809449537955,0.17396860275903867
0.0,0.07853981633974483,0.4938820645368942,0.17405036979227004
0.0,0.08290313946973066,0.49318982194991456,0.17413662134902172
0.0,0.08726646259971647,0.4924615775982386,0.1742273265209122
0.0,0.0916297857297023,0.49169755331215026,0.17432245283694572
0.0,0.09599310885968812,0.49089798182084854,0.17442196628012174
0.0,0.10035643198967395,0.49006310668155506,0.17452583130478147
0.0,0.10471975511965978,0.48919318220532504,0.1746340108546741
0.0,0.1090830782496456,0.48828847337958137,0.17474646638172658
0.0,0.11344640137963143,0.48734925578739585,0.1748631578654984
0.0,0.11780972450961724,0.4863758155235459,0.1749840438333046
0.0,0.12217304763960307,0.48536844910736576,0.17510908138098744
0.0,0.1265363707695889,0.4843274633924245,0.17523822619431792
0.0,0.1308996938995747,0.4832531754730548,0.17537143257100832
0.0,0.13526301702956053,0.48214591258776396,0.1755086534433148
0.0,0.13962634015954636,0.4810060120195534,0.175649840401211
0.0,0.1439896632895322,0.47983382099317795,0.17579494371611082
0.0,0.14835298641951802,0.47862969656938026,0.1759439123651208
0.0,0.15271630954950383,0.4773940055361239,0.1760966940557996
0.0,0.15707963267948966,0.47612712429686843,0.17625323525140418
0.0,0.16144295580947549,0.47482943875591166,0.17641348119660027
0.0,0.16580627893946132,0.47350134420084034,0.17657737594361603
0.0,0.17016960206944712,0.4721432451821215,0.17674486237881587
0.0,0.17453292519943295,0.4707555553898721,0.17691588224967347
0.0,0.17889624832941878,0.4693386975278466,0.17709037619212087
0.0,0.1832595714594046,0.46789310318467436,0.17726828375825177
0.0,0.18762289458939044,0.4664192127023963,0.1774495434443565
0.0,0.19198621771937624,0.4649174750423314,0.17763409271926667
0.0,0.19634954084936207,0.46338834764831843,0.17782186805298683
0.0,0.2007128639793479,0.46183229630737466,0.17801280494559107
0.0,0.20507618710933373,0.46024979500781227,0.17820683795636252
0.0,0.20943951023931956,0.4586413257948574,0.17840390073315315
0.0,0.21380283336930536,0.45700737862381346,0.17860392604194295
0.0,0.2181661564992912,0.45534845121081746,0.17880684579657602
0.0,0.22252947962927702,0.4536650488812296,0.17901259108865158
0.0,0.22689280275926285,0.4519576844157073,0.17922109221755003
0.0,0.23125612588924865,0.45022687789400606,0.17943227872057144
0.0,0.23561944901923448,0.44847315653655906,0.17964607940316654
0.0,0.2399827721492203,0.44669705454388076,0.17986242236923927
0.0,0.24434609527920614,0.4448991129338433,0.18008123505150084
0.0,0.24870941840919197,0.4430798793768784,0.18030244424185496
0.0,0.2530727415391778,0.4412399080291506,0.18052597612179547
0.0,0.25743606466916363,0.43937975936375673,0.1807517562927962
0.0,0.2617993877991494,0.4375000000000001,0.18097970980667477
0.0,0.26616271092913524,0.43560120253079226,0.18120976119591173
0.0,0.27052603405912107,0.4336839453482363,0.18144183450390716
0.0,0.2748893571891069,0.43174881246744334,0.18167585331515687
0.0,0.2792526803190927,0.42979639334863473,0.18191174078533096
0.0,0.28361600344907856,0.4278272827175875,0.18214941967123843
0.0,0.2879793265790644,0.425842080384475,0.1823888123606611
0.0,0.2923426497090502,0.42384139106115915,0.18262984090204146
0.0,0.29670597283903605,0.421825824176989,0.18287242703400863
0.0,0.3010692959690218,0.41979599369316256,0.18311649221472814
0.0,0.30543261909900765,0.41775251791570867,0.18336195765106073
0.0,0.3097959422289935,0.4156960193071446,0.18360874432751653
0.0,0.3141592653589793,0.4136271242968683,0.18385677303499154
0.0,0.31852258848896514,0.41154646309034215,0.18410596439927307
0.0,0.32288591161895097,0.4094546694771249,0.184356238909302
0.0,0.3272492347489368,0.4073523806378151,0.18460751694518057
0.0,0.33161255787892263,0.4052402369499585,0.18485971880591356
0.0,0.33597588100890846,0.40311888179298305,0.18511276473687274
0.0,0.34033920413889424,0.40098896135221995,0.1853665749569744
0.0,0.34470252726888007,0.39885112442206816,0.18562106968555933
0.0,0.3490658503988659,0.39670602220836637,0.18587616916896754
0.0,0.3534291735288517,0.3945543081300289,0.18613179370679722
0.0,0.35779249665883756,0.3923966376200081,0.186387863677842
0.0,0.3621558197888234,0.3902336679256435,0.18664429956569606
0.0,0.3665191429188092,0.3880660579084567,0.18690102198402242
0.0,0.37088246604879505,0.3858944678434574,0.18715795170147645
0.0,0.3752457891787809,0.38371955921801576,0.18741500966627858
0.0,0.37960911230876665,0.381541994530368,0.18767211703043035
0.0,0.3839724354387525,0.3793624370878127,0.1879291951735693
0.0,0.3883357585687383,0.3771815508046604,0.18818616572645655
0.0,0.39269908169872414,0.375,0.18844295059409505
0.0,0.39706240482870997,0.3728184491953396,0.18869947197847145
0.0,0.4014257279586958,0.3706375629121874,0.18895565240092135
0.0,0.40578905108868163,0.3684580054696321,0.18921141472411276
0.0,0.41015237421866746,0.3662804407819844,0.18946668217364646
0.0,0.4145156973486533,0.3641055321565427,0.18972137835927025
0.0,0.4188790204786391,0.3619339420915433,0.18997542729570638
0.0,0.4232423436086249,0.3597663320743565,0.19022875342308945
0.0,0.4276056667386107,0.3576033623799918,0.19048128162701541
0.0,0.43196898986859655,0.35544569186997105,0.19073293725819948
0.0,0.4363323129985824,0.35329397779163363,0.19098364615174446
0.0,0.4406956361285682,0.35114887557793195,0.1912333346460179
0.0,0.44505895925855404,0.3490110386477801,0.1914819296011397
0.0,0.4494222823885399,0.34688111820701684,0.19172935841708078
0.0,0.4537856055185257,0.3447597630500416,0.1919755490513736
0.0,0.45814892864851153,0.3426476193621848,0.1922204300364358
0.0,0.4625122517784973,0.3405453305228752,0.19246393049651012
0.0,0.46687557490848314,0.33845353690965796,0.19270598016421986
0.0,0.47123889803846897,0.3363728757031317,0.19294650939674524
0.0,0.4756022211684548,0.3343039806928554,0.1931854491916209
0.0,0.4799655442984406,0.3322474820842914,0.19342273120215836
0.0,0.48432886742842646,0.3302040063068375,0.19365828775249627
0.0,0.4886921905584123,0.32817417582301106,0.19389205185228114
0.0,0.4930555136883981,0.32615860893884074,0.1941239572109833
0.0,0.49741883681838395,0.32415791961552504,0.19435393825185004
0.0,0.5017821599483697,0.32217271728241254,0.194581930125501
0.0,0.5061454830783556,0.32020360665136527,0.19480786872316933
0.0,0.5105088062083414,0.3182511875325567,0.19503169068959272
0.0,0.5148721293383273,0.3163160546517637,0.1952533334355589
0.0,0.519235452468313,0.3143987974692079,0.19547273515010952
0.0,0.5235987755982988,0.3125000000000001,0.19568983481240812
0.0,0.5279620987282847,0.31062024063624316,0.1959045722032752
0.0,0.5323254218582705,0.30876009197084947,0.1961168879163971
0.0,0.5366887449882564,0.3069201206231217,0.19632672336921164
0.0,0.5410520681182421,0.30510088706615673,0.19653402081347796
0.0,0.545415391248228,0.30330294545611924,0.19673872334553277
0.0,0.5497787143782138,0.30152684346344094,0.19694077491624098
0.0,0.5541420375081997,0.299773122105994,0.19714012034064365
0.0,0.5585053606381855,0.2980423155842927,0.1973367053073104
0.0,0.5628686837681712,0.2963349511187704,0.19753047638740023
0.0,0.5672320068981571,0.29465154878918265,0.19772138104343653
0.0,0.5715953300281429,0.29299262137618654,0.19790936763780237
0.0,0.5759586531581288,0.29135867420514283,0.19809438544096075
0.0,0.5803219762881145,0.2897502049921878,0.19827638463940453
0.0,0.5846852994181004,0.2881677036926254,0.19845531634334385
0.0,0.5890486225480862,0.2866116523516816,0.19863113259413379
0.0,0.5934119456780721,0.28508252495766867,0.19880378637144902
0.0,0.5977752688080579,0.2835807872976037,0.19897323160021124
0.0,0.6021385919380436,0.2821068968153258,0.19913942315727357
0.0,0.6065019150680295,0.2806613024721536,0.19930231687786804
0.0,0.6108652381980153,0.2792444446101277,0.19946186956182135
0.0,0.6152285613280012,0.27785675481787864,0.19961803897954433
0.0,0.619591884457987,0.2764986557991598,0.19977078387779934
